1, Jacob, 676, Emily, 432,
2, Jose, 632, Emma, 389,
3, Daniel, 566, Ashley, 370,
4, Anthony, 559, Alexis, 339,
5, Michael, 549, Alyssa, 337,
6, Angel, 543, Samantha, 335,
7, Jesus, 537, Isabella, 327,
8, Joshua, 491, Madison, 323,
9, Andrew, 449, Abigail, 294,
10, David, 447, Hannah, 282,
11, Joseph, 443, Elizabeth, 263,
12, Gabriel, 440, Jessica, 249,
13, Luis, 438, Jennifer, 245,
14, Ethan, 403, Victoria, 239,
15, Ryan, 402, Brianna, 219,
16, Christopher, 401, Maria, 217,
17, Matthew, 400, Sarah, 213,
18, Brandon, 365, Olivia, 204,
19, Alexander, 362, Grace, 201,
20, Nicholas, 355, Sophia, 200,
21, Juan, 347, Andrea, 195,
22, Jonathan, 344, Hailey, 195,
23, Carlos, 340, Taylor, 188,
24, Tyler, 323, Jasmine, 186,
25, Christian, 297, Natalie, 180,
26, Kevin, 294, Lauren, 176,
27, Dylan, 293, Mia, 171,
28, Nathan, 288, Kayla, 168,
29, Samuel, 281, Stephanie, 165,
30, Zachary, 276, Alexa, 156,
31, William, 273, Savannah, 154,
32, Benjamin, 260, Alexandra, 153,
33, Adrian, 258, Chloe, 153,
34, John, 258, Megan, 152,
35, James, 249, Vanessa, 150,
36, Isaac, 248, Leslie, 143,
37, Logan, 230, Kaitlyn, 138,
38, Isaiah, 225, Sydney, 137,
39, Diego, 222, Michelle, 136,
40, Miguel, 221, Angelina, 135,
41, Aaron, 217, Nicole, 135,
42, Caleb, 216, Kimberly, 134,
43, Robert, 213, Ariana, 133,
44, Elijah, 212, Destiny, 129,
45, Noah, 212, Mackenzie, 124,
46, Alejandro, 207, Trinity, 124,
47, Justin, 207, Faith, 123,
48, Austin, 204, Rachel, 123,
49, Bryan, 202, Daniela, 122,
50, Julian, 201, Morgan, 121,
51, Brian, 196, Brooke, 120,
52, Aidan, 187, Anna, 118,
53, Francisco, 187, Melissa, 118,
54, Victor, 186, Amanda, 115,
55, Connor, 184, Paige, 114,
56, Jason, 180, Alondra, 113,
57, Jordan, 179, Arianna, 113,
58, Thomas, 179, Jocelyn, 113,
59, Mason, 164, Angelica, 111,
60, Hunter, 163, Evelyn, 111,
61, Jorge, 162, Gabriela, 109,
62, Xavier, 161, Karla, 108,
63, Kyle, 160, Marissa, 108,
64, Sebastian, 154, Diana, 107,
65, Aiden, 151, Angela, 105,
66, Alan, 148, Kylie, 105,
67, Gavin, 147, Lizbeth, 105,
68, Eduardo, 146, Jordan, 104,
69, Antonio, 145, Kaylee, 104,
70, Fernando, 145, Melanie, 104,
71, Eric, 144, Gabriella, 102,
72, Adam, 142, Katelyn, 102,
73, Cody, 142, Sierra, 102,
74, Nathaniel, 142, Adriana, 101,
75, Evan, 141, Mariah, 101,
76, Jackson, 141, Briana, 100,
77, Cameron, 137, Jacqueline, 100,
78, Steven, 135, Maya, 98,
79, Dominic, 134, Alejandra, 96,
80, Alex, 132, Valeria, 96,
81, Luke, 129, Ava, 95,
82, Cesar, 125, Makayla, 94,
83, Jack, 124, Isabel, 93,
84, Manuel, 124, Alexia, 92,
85, Andres, 123, Ella, 92,
86, Oscar, 122, Julia, 92,
87, Javier, 121, Tatum, 92,
88, Mario, 121, Ana, 91,
89, Jayden, 119, Sofia, 91,
90, Jesse, 118, Haley, 90,
91, Ivan, 117, Jade, 89,
92, Sergio, 117, Alicia, 88,
93, Ricardo, 115, Katherine, 88,
94, Alexis, 112, Cassandra, 87,
95, Hayden, 112, Sara, 87,
96, Edgar, 111, Zoe, 87,
97, Damian, 109, Jazmin, 86,
98, Cole, 108, Jenna, 82,
99, Seth, 108, Daisy, 81,
100, Trevor, 108, Rebecca, 81,
