1, Jacob, 478, Emily, 378,
2, Joshua, 405, Emma, 357,
3, Andrew, 385, Madison, 297,
4, Alexander, 350, Hannah, 291,
5, Daniel, 348, Isabella, 273,
6, Ethan, 332, Ashley, 272,
7, Michael, 332, Abigail, 265,
8, Joseph, 328, Samantha, 254,
9, Ryan, 324, Grace, 240,
10, Tyler, 321, Elizabeth, 238,
11, Matthew, 319, Olivia, 227,
12, Jose, 318, Alexis, 209,
13, Samuel, 299, Alyssa, 209,
14, Benjamin, 293, Sarah, 195,
15, Anthony, 288, Jessica, 192,
16, William, 286, Lauren, 190,
17, David, 279, Taylor, 188,
18, Zachary, 277, Sophia, 176,
19, Christopher, 276, Jennifer, 165,
20, Dylan, 269, Sydney, 158,
21, James, 263, Chloe, 152,
22, Gabriel, 259, Jasmine, 150,
23, Jack, 258, Victoria, 150,
24, Logan, 242, Ella, 149,
25, Nicholas, 242, Anna, 148,
26, John, 238, Megan, 144,
27, Brandon, 231, Morgan, 138,
28, Jonathan, 231, Maria, 135,
29, Elijah, 227, Rachel, 133,
30, Noah, 215, Haley, 132,
31, Nathan, 210, Savannah, 132,
32, Caleb, 207, Alexandra, 131,
33, Aidan, 202, Hailey, 130,
34, Kevin, 198, Natalie, 130,
35, Luis, 196, Mia, 129,
36, Evan, 193, Jordan, 128,
37, Jackson, 193, Kayla, 120,
38, Connor, 187, Lily, 120,
39, Isaiah, 185, Ava, 117,
40, Isaac, 181, Kylie, 116,
41, Angel, 179, Kaitlyn, 115,
42, Christian, 173, Brianna, 112,
43, Jesus, 173, Katherine, 112,
44, Luke, 172, Julia, 111,
45, Juan, 169, Brooke, 109,
46, Austin, 167, Nicole, 105,
47, Robert, 166, Zoe, 105,
48, Hunter, 160, Trinity, 101,
49, Justin, 159, Avery, 100,
50, Jordan, 157, Paige, 99,
51, Thomas, 152, Andrea, 97,
52, Gavin, 149, Leslie, 97,
53, Jason, 149, Mackenzie, 97,
54, Adam, 143, Nevaeh, 97,
55, Aaron, 139, Sierra, 97,
56, Diego, 138, Kaylee, 96,
57, Adrian, 137, Allison, 95,
58, Carlos, 136, Faith, 95,
59, Kyle, 134, Madeline, 94,
60, Charles, 133, Riley, 91,
61, Aiden, 132, Michelle, 86,
62, Mason, 132, Evelyn, 85,
63, Blake, 131, Amanda, 84,
64, Cameron, 129, Destiny, 83,
65, Ian, 129, Kimberly, 83,
66, Alex, 128, Stephanie, 83,
67, Bryan, 125, Maya, 81,
68, Cole, 122, Jenna, 77,
69, Dominic, 122, Mariah, 76,
70, Sean, 121, Sara, 76,
71, Owen, 120, Vanessa, 76,
72, Brian, 113, Ariana, 75,
73, Eric, 112, Autumn, 75,
74, Cody, 111, Isabel, 75,
75, Jaden, 111, Marissa, 75,
76, Miguel, 109, Mary, 75,
77, Seth, 109, Jade, 73,
78, Nathaniel, 105, Alexa, 72,
79, Hayden, 104, Ana, 72,
80, Julian, 100, Daisy, 72,
81, Lucas, 100, Amelia, 71,
82, Tristan, 100, Jacqueline, 69,
83, Tanner, 99, Gabriela, 68,
84, Xavier, 97, Shelby, 68,
85, Alejandro, 96, Amber, 66,
86, Caden, 94, Gabriella, 66,
87, Garrett, 93, Makayla, 66,
88, Liam, 93, Rebecca, 65,
89, Riley, 93, Angelina, 63,
90, Jeremiah, 92, Jocelyn, 63,
91, Wyatt, 92, Audrey, 62,
92, Carson, 90, Gabrielle, 62,
93, Jesse, 90, Katelyn, 62,
94, Trevor, 90, Bailey, 60,
95, Jayden, 88, Claire, 60,
96, Chase, 87, Danielle, 60,
97, Ivan, 83, Ashlyn, 58,
98, Alan, 82, Isabelle, 58,
99, Cesar, 82, Leah, 58,
100, Antonio, 80, Sofia, 58,
