1, Matthew, 443, Emma, 334,
2, Michael, 442, Emily, 296,
3, Ryan, 374, Olivia, 278,
4, Nicholas, 369, Madison, 226,
5, Joseph, 307, Julia, 212,
6, Joshua, 307, Grace, 204,
7, John, 298, Samantha, 202,
8, Andrew, 294, Abigail, 198,
9, Christopher, 293, Sarah, 196,
10, Jacob, 290, Isabella, 194,
11, Anthony, 286, Hannah, 170,
12, Tyler, 280, Ashley, 169,
13, Daniel, 271, Elizabeth, 153,
14, Alexander, 260, Lauren, 153,
15, William, 259, Brianna, 151,
16, Zachary, 243, Jessica, 151,
17, Jack, 239, Sophia, 150,
18, Justin, 229, Alexandra, 143,
19, James, 225, Alyssa, 132,
20, Benjamin, 219, Katherine, 129,
21, Ethan, 203, Victoria, 125,
22, Samuel, 198, Ava, 124,
23, David, 192, Alexis, 119,
24, Dylan, 183, Kayla, 117,
25, Kyle, 173, Megan, 114,
26, Thomas, 171, Nicole, 112,
27, Aidan, 166, Natalie, 110,
28, Nathan, 165, Sydney, 107,
29, Connor, 162, Rachel, 102,
30, Robert, 160, Amanda, 100,
31, Jonathan, 157, Mia, 100,
32, Kevin, 156, Caroline, 99,
33, Brandon, 153, Anna, 98,
34, Evan, 152, Kaitlyn, 91,
35, Jason, 148, Morgan, 91,
36, Christian, 146, Brooke, 89,
37, Luke, 139, Taylor, 86,
38, Sean, 135, Hailey, 84,
39, Gabriel, 123, Chloe, 82,
40, Elijah, 120, Jenna, 80,
41, Noah, 119, Madeline, 79,
42, Logan, 113, Rebecca, 79,
43, Patrick, 112, Gabriella, 78,
44, Charles, 110, Mackenzie, 77,
45, Cameron, 109, Destiny, 68,
46, Jake, 103, Erin, 68,
47, Owen, 102, Paige, 68,
48, Brian, 101, Alexa, 67,
49, Jordan, 100, Catherine, 66,
50, Colin, 99, Ariana, 65,
51, Isaiah, 91, Ella, 65,
52, Jose, 89, Jennifer, 64,
53, Adam, 88, Kylie, 62,
54, Jayden, 86, Zoe, 61,
55, Aaron, 80, Allison, 60,
56, Nathaniel, 80, Charlotte, 60,
57, Lucas, 79, Claire, 60,
58, Timothy, 79, Lily, 60,
59, Ian, 78, Maya, 60,
60, Angel, 77, Molly, 60,
61, Liam, 77, Sara, 60,
62, Luis, 75, Riley, 58,
63, Aiden, 74, Gianna, 57,
64, Austin, 74, Isabelle, 57,
65, Gavin, 74, Jillian, 57,
66, Jackson, 74, Haley, 54,
67, Eric, 73, Jordan, 54,
68, Mason, 73, Meghan, 54,
69, Alex, 70, Arianna, 52,
70, Peter, 68, Kelly, 52,
71, Steven, 65, Stephanie, 52,
72, Xavier, 65, Margaret, 51,
73, Brendan, 63, Avery, 50,
74, Caleb, 63, Christina, 50,
75, Cole, 63, Gabrielle, 50,
76, Dominic, 63, Makayla, 50,
77, Bryan, 60, Mary, 50,
78, Devin, 60, Sophie, 50,
79, Richard, 60, Kathryn, 48,
80, Jeremy, 58, Angelina, 47,
81, Julian, 57, Jada, 47,
82, Stephen, 56, Juliana, 45,
83, Hunter, 55, Leah, 45,
84, George, 53, Sofia, 45,
85, Mark, 53, Amelia, 44,
86, Edward, 51, Caitlin, 44,
87, Trevor, 51, Danielle, 43,
88, Cody, 50, Jasmine, 43,
89, Jeremiah, 50, Faith, 42,
90, Maxwell, 50,Lillian, 42,
91, Vincent, 50, Aaliyah, 39,
92, Henry, 48, Amy, 39,
93, Jaden, 48, Audrey, 39,
94, Sebastian, 47, Kaylee, 39,
95, Shane, 47, Marissa, 39,
96, Carlos, 44, Shannon, 39,
97, Chase, 44, Trinity, 39,
98, Nicolas, 44, Caitlyn, 38,
99, Max, 43, Jocelyn, 38,
100, Paul, 43, Maria, 38,
