1, Michael, 100, Kayla, 51,
2, William, 93, Emily, 50,
3, Alexander, 80, Katherine, 50,
4, John, 80, Elizabeth, 45,
5, David, 73, Sophia, 45,
6, Daniel, 71, Abigail, 43,
7, James, 71, Caroline, 43,
8, Joshua, 71, Sarah, 42,
9, Christopher, 66, Anna, 39,
10, Matthew, 64, Emma, 38,
11, Samuel, 62, Grace, 38,
12, Andrew, 61, Ashley, 37,
13, Ryan, 60, Olivia, 37,
14, Nicholas, 59, Sydney, 37,
15, Benjamin, 58, Taylor, 37,
16, Kevin, 56, Maya, 36,
17, Jonathan, 55, Isabella, 35,
18, Anthony, 54, Alexandra, 33,
19, Thomas, 50, Ella, 32,
20, Jacob, 49, Zoe, 31,
21, Joseph, 49, Isabel, 28,
22, Aidan, 42, Julia, 27,
23, Elijah, 42, Chloe, 26,
24, Isaiah, 41, Jada, 26,
25, Robert, 41, Kennedy, 26,
26, Ethan, 40, Madison, 26,
27, Brandon, 39, Sofia, 26,
28, Christian, 39, Alexis, 25,
29, Jack, 38, Jasmine, 25,
30, Jeremiah, 35, Rachel, 25,
31, Justin, 35, Jessica, 24,
32, Charles, 33, Lauren, 24,
33, Eric, 33, Makayla, 24,
34, Henry, 33, Catherine, 23,
35, Jackson, 33, Charlotte, 23,
36, Zachary, 33, Lily, 23,
37, Bryan, 31, Madeline, 23,
38, Noah, 31, Mary, 22,
39, Sean, 31, Natalie, 22,
40, Antonio, 30, Samantha, 21,
41, Jose, 30, Sophie, 21,
42, Maxwell, 30, Brianna, 20,
43, Aaron, 29, Claire, 20,
44, Jalen, 29, Destiny, 20,
45, Jason, 29, Gabrielle, 20,
46, Jordan, 29, Hannah, 20,
47, Peter, 29, Margaret, 20,
48, Malik, 28, Mia, 20,
49, Luke, 27, Nicole, 20,
50, Adam, 26, Victoria, 20,
51, Malachi, 26, Allison, 19,
52, Tyler, 26, Christina, 19,
53, Dylan, 25, Stephanie, 19,
54, Evan, 25, Aniya, 18,
55, Gabriel, 25, Ava, 17,
56, Brian, 24, Erin, 17,
57, Colin, 24, Michelle, 17,
58, Jaden, 24, Nia, 17,
59, Nathan, 24, Aaliyah, 16,
60, Cameron, 23, Amelia, 16,
61, Jayden, 23, Audrey, 16,
62, Devin, 22, Briana, 16,
63, Gregory, 22, Courtney, 16,
64, Lucas, 22, Imani, 16,
65, Ian, 21, Jordan, 16,
66, Liam, 21, Kimberly, 16,
67, Marcus, 21, Maria, 16,
68, Caleb, 20, Morgan, 16,
69, Carlos, 20, Fiona, 15,
70, Connor, 20, Jacqueline, 15,
71, Edward, 20, Jade, 15,
72, Isaac, 20, Laila, 15,
73, Nicolas, 20, Megan, 15,
74, Owen, 20, Mya, 15,
75, Logan, 19, Naomi, 15,
76, Nathaniel, 19, Aniyah, 14,
77, Patrick, 19, Asia, 14,
78, Xavier, 19, Faith, 14,
79, Andre, 18, Jayla, 14,
80, Jeremy, 18, Jennifer, 14,
81, Paul, 18, Leah, 14,
82, Angel, 17, Lucy, 14,
83, Khalil, 17, Nina, 14,
84, Kyle, 17, Sara, 14,
85, Richard, 17, Alyssa, 13,
86, Timothy, 17, Ana, 13,
87, Victor, 17, Angel, 13,
88, Bryce, 16, Ariana, 13,
89, Max, 16, Camille, 13,
90, Miles, 16, Danielle, 13,
91, Emmanuel, 15, Eleanor, 13,
92, Juan, 15, Gabriela, 13,
93, Mark, 15, Gabriella, 13,
94, Maurice, 15, Jocelyn, 13,
95, Oscar, 15, Nora, 13,
96, Alex, 14, Diamond, 12,
97, Alexis, 14, Kate, 12,
98, Darren, 14, Nevaeh, 12,
99, Dominic, 14, Alexa, 11,
100, Micah, 14, Amari, 11,
