1, Michael, 1687, Emily, 1302
2, Joshua, 1528, Isabella, 1105
3, Matthew, 1329, Madison, 981
4, Anthony, 1294, Emma, 857
5, Christopher, 1280, Hannah, 832
6, Jacob, 1279, Ashley, 814
7, Daniel, 1250, Alexis, 755
8, Nicholas, 1140, Sarah, 747
9, Joseph, 1054, Brianna, 746
10, Alexander, 1038, Alyssa, 728
11, David, 1009, Samantha, 718
12, Ethan, 972, Kayla, 711
13, Jonathan, 965, Victoria, 658
14, Tyler, 949, Olivia, 657
15, Andrew, 933, Abigail, 632
16, Christian, 922, Elizabeth, 626
17, William, 919, Sophia, 562
18, John, 863, Lauren, 559
19, Dylan, 859, Nicole, 542
20, Ryan, 855, Taylor, 541
21, James, 844, Jessica, 523
22, Zachary, 824, Jasmine, 493
23, Gabriel, 823, Alexandra, 472
24, Brandon, 817, Hailey, 457
25, Justin, 738, Chloe, 421
26, Logan, 722, Amanda, 408
27, Kevin, 706, Natalie, 406
28, Robert, 679, Mia, 404
29, Jordan, 675, Grace, 400
30, Austin, 645, Kaitlyn, 397
31, Samuel, 629, Jennifer, 394
32, Jose, 584, Destiny, 382
33, Caleb, 581, Brooke, 380
34, Benjamin, 552, Katherine, 373
35, Nathan, 548, Rachel, 370
36, Sebastian, 535, Gabriella, 367
37, Noah, 526, Sofia, 357
38, Elijah, 518, Maria, 355
39, Jason, 510, Sydney, 348
40, Thomas, 490, Stephanie, 347
41, Connor, 474, Savannah, 344
42, Isaiah, 470, Gabriela, 336
43, Kyle, 459, Morgan, 334
44, Hunter, 457, Julia, 333
45, Cameron, 454, Megan, 328
46, Luis, 427, Jordan, 319
47, Aidan, 424, Jada, 312
48, Brian, 419, Haley, 310
49, Juan, 416, Anna, 303
50, Evan, 415, Trinity, 303
51, Sean, 404, Angelina, 299
52, Jackson, 391, Kaylee, 297
53, Angel, 388, Faith, 286
54, Alex, 384, Melanie, 277
55, Gavin, 384, Andrea, 269
56, Aaron, 378, Rebecca, 267
57, Julian, 377, Gabrielle, 266
58, Adrian, 372, Makayla, 260
59, Carlos, 363, Ariana, 258
60, Eric, 358, Mackenzie, 256
61, Bryan, 354, Amber, 252
62, Charles, 345, Sara, 252
63, Luke, 341, Michelle, 247
64, Jeremiah, 339, Arianna, 246
65, Nathaniel, 335, Alexa, 239
66, Jack, 333, Zoe, 236
67, Lucas, 330, Allison, 235
68, Jayden, 323, Jade, 234
69, Jaden, 318, Aaliyah, 233
70, Steven, 315, Sabrina, 231
71, Antonio, 313, Danielle, 229
72, Adam, 310, Kylie, 228
73, Nicolas, 308, Briana, 227
74, Chase, 304, Vanessa, 225
75, Ian, 303, Paige, 221
76, Devin, 301, Katelyn, 216
77, Richard, 300, Sierra, 216
78, Cody, 297, Ava, 215
79, Dominic, 291, Jenna, 215
80, Alejandro, 290, Shelby, 207
81, Isaac, 287, Melissa, 199
82, Xavier, 276, Christina, 197
83, Blake, 275, Daniela, 196
84, Timothy, 273, Isabel, 195
85, Jake, 269, Lily, 195
86, Victor, 262, Caroline, 194
87, Mason, 258, Natalia, 192
88, Aiden, 255, Riley, 191
89, Patrick, 244, Kimberly, 190
90, Kenneth, 239, Mya, 186
91, Miguel, 236, Leah, 184
92, Cole, 231, Jocelyn, 183
93, Colin, 231, Ella, 181
94, Ashton, 230, Breanna, 179
95, Andres, 225, Maya, 178
96, Bryce, 225, Autumn, 176
97, Seth, 220, Courtney, 176
98, Jorge, 215, Angela, 175
99, Jeremy, 213, Mary, 175
100, Carson, 209, Camila, 169
