1, William, 1170, Emily, 752,
2, Joshua, 936, Madison, 741,
3, Jacob, 924, Emma, 679,
4, Michael, 829, Hannah, 633,
5, Christopher, 806, Sarah, 523,
6, James, 747, Abigail, 505,
7, Matthew, 691, Alexis, 496,
8, John, 681, Elizabeth, 487,
9, Andrew, 631, Ashley, 470,
10, Ethan, 609, Olivia, 449,
11, Tyler, 578, Anna, 444,
12, David, 572, Taylor, 420,
13, Joseph, 566, Kayla, 391,
14, Daniel, 551, Lauren, 387,
15, Brandon, 519, Jessica, 339,
16, Justin, 505, Sydney, 330,
17, Nicholas, 498, Jasmine, 326,
18, Jonathan, 494, Brianna, 324,
19, Christian, 491, Alyssa, 312,
20, Alexander, 476, Chloe, 309,
21, Caleb, 469, Isabella, 304,
22, Jackson, 469, Mary, 296,
23, Samuel, 464, Jordan, 295,
24, Anthony, 461, Haley, 292,
25, Jordan, 458, Morgan, 292,
26, Cameron, 445, Samantha, 290,
27, Dylan, 444, Grace, 287,
28, Ryan, 433, Jennifer, 280,
29, Robert, 419, Destiny, 279,
30, Thomas, 418, Victoria, 267,
31, Benjamin, 415, Kaitlyn, 264,
32, Zachary, 411, Savannah, 260,
33, Austin, 409, Jada, 257,
34, Charles, 385, Makayla, 254,
35, Elijah, 356, Caroline, 252,
36, Hunter, 351, Rachel, 238,
37, Kevin, 348, Katherine, 237,
38, Gabriel, 337, Natalie, 216,
39, Jose, 334, Megan, 213,
40, Noah, 327, Hailey, 205,
41, Logan, 324, Trinity, 201,
42, Evan, 301, Mackenzie, 200,
43, Nathan, 297, Ella, 198,
44, Jason, 290, Sophia, 189,
45, Mason, 265, Katelyn, 184,
46, Isaiah, 262, Ava, 182,
47, Eric, 250, Kennedy, 178,
48, Brian, 247, Maria, 178,
49, Gavin, 247, Ansley, 176,
50, Luke, 245, Faith, 172,
51, Aaron, 244, Allison, 166,
52, Connor, 237, Amber, 166,
53, Timothy, 237, Julia, 166,
54, Landon, 221, Sara, 164,
55, Jack, 212, Kimberly, 162,
56, Juan, 211, Madeline, 162,
57, Jeremiah, 210, Gabrielle, 161,
58, Bryan, 208, Rebecca, 157,
59, Devin, 208, Courtney, 154,
60, Sean, 204, Zoe, 152,
61, Aidan, 203, Aaliyah, 151,
62, Luis, 203, Autumn, 151,
63, Jaden, 193, Stephanie, 149,
64, Kyle, 189, Angel, 144,
65, Jayden, 187, Brooke, 143,
66, Jalen, 183, Kaylee, 143,
67, Richard, 183, Shelby, 143,
68, Antonio, 178, Danielle, 138,
69, Alex, 177, Gracie, 138,
70, Carlos, 177, Sierra, 138,
71, Carson, 175, Erin, 136,
72, Xavier, 174, Mia, 135,
73, Chase, 173, Alexandra, 134,
74, Angel, 168, Audrey, 134,
75, Hayden, 168, Avery, 134,
76, Ian, 167, Lily, 132,
77, Isaac, 166, Nicole, 131,
78, Jaylen, 165, Riley, 130,
79, Ashton, 163, Kylie, 129,
80, Steven, 163, Michelle, 127,
81, Patrick, 161, Amelia, 123,
82, Adam, 160, Bailey, 123,
83, Cody, 159, Ashlyn, 122,
84, Garrett, 159, Breanna, 122,
85, Nathaniel, 158, Katie, 122,
86, Kenneth, 152, Leslie, 120,
87, Bryce, 147, Catherine, 118,
88, Jesus, 143, Jenna, 118,
89, Henry, 142, Lindsey, 116,
90, Blake, 138, Kathryn, 115,
91, Kaleb, 138, Christina, 114,
92, Seth, 138, Lillian, 114,
93, Jared, 137, Margaret, 113,
94, Stephen, 137, Leah, 112,
95, Marcus, 135, Amanda, 111,
96, Dalton, 132, Alexandria, 110,
97, Malik, 132, Diana, 107,
98, Tristan, 130, Jayla, 106,
99, Owen, 128, Summer, 105,
100, Micah, 126, Kendall, 104,
