1, Michael, 1346, Emily, 1103,
2, Jacob, 1249, Emma, 1019,
3, Daniel, 1100, Olivia, 802,
4, Joseph, 1077, Abigail, 765,
5, Anthony, 1070, Grace, 747,
6, Matthew, 1055, Madison, 719,
7, Alexander, 1001, Elizabeth, 686,
8, Joshua, 992, Alexis, 664,
9, Andrew, 961, Hannah, 643,
10, Nicholas, 950, Ashley, 642,
11, Ryan, 931, Isabella, 604,
12, David, 871, Samantha, 582,
13, Tyler, 819, Jessica, 578,
14, Ethan, 807, Sarah, 565,
15, William, 765, Kayla, 535,
16, John, 755, Alyssa, 527,
17, Christopher, 752, Lauren, 477,
18, Nathan, 700, Brianna, 463,
19, James, 686, Anna, 451,
20, Zachary, 666, Natalie, 448,
21, Benjamin, 662, Sophia, 437,
22, Samuel, 629, Jennifer, 402,
23, Kevin, 627, Mia, 393,
24, Brandon, 621, Julia, 391,
25, Jonathan, 615, Taylor, 390,
26, Dylan, 611, Megan, 376,
27, Jack, 611, Morgan, 372,
28, Christian, 583, Jasmine, 364,
29, Justin, 557, Chloe, 358,
30, Jose, 551, Rachel, 342,
31, Logan, 518, Sydney, 342,
32, Thomas, 518, Nicole, 331,
33, Angel, 514, Victoria, 324,
34, Aidan, 488, Katherine, 303,
35, Gabriel, 461, Ella, 298,
36, Noah, 460, Madeline, 298,
37, Kyle, 451, Stephanie, 297,
38, Brian, 445, Destiny, 295,
39, Connor, 436, Kaitlyn, 294,
40, Luke, 429, Alexandra, 293,
41, Evan, 420, Hailey, 293,
42, Robert, 401, Jocelyn, 289,
43, Caleb, 399, Maria, 279,
44, Jason, 384, Paige, 274,
45, Adam, 382, Ava, 272,
46, Austin, 376, Michelle, 272,
47, Eric, 375, Haley, 267,
48, Charles, 372, Allison, 262,
49, Sean, 369, Andrea, 250,
50, Juan, 367, Vanessa, 247,
51, Luis, 358, Jacqueline, 246,
52, Elijah, 345, Leslie, 241,
53, Jackson, 345, Mary, 239,
54, Cameron, 344, Faith, 232,
55, Gavin, 344, Brooke, 229,
56, Adrian, 340, Jenna, 229,
57, Alex, 340, Kylie, 227,
58, Lucas, 337, Melanie, 224,
59, Julian, 326, Ariana, 223,
60, Jesus, 320, Isabel, 223,
61, Aaron, 314, Mackenzie, 220,
62, Colin, 305, Evelyn, 218,
63, Bryan, 301, Zoe, 218,
64, Isaac, 300, Claire, 216,
65, Patrick, 300, Rebecca, 213,
66, Isaiah, 295, Amanda, 212,
67, Hunter, 291, Lily, 205,
68, Diego, 290, Sara, 205,
69, Jordan, 287, Makayla, 200,
70, Nathaniel, 287, Diana, 199,
71, Ian, 279, Caroline, 198,
72, Antonio, 274, Trinity, 198,
73, Mason, 273, Sofia, 194,
74, Carlos, 261, Lillian, 193,
75, Owen, 250, Maya, 193,
76, Xavier, 244, Angelina, 192,
77, Aiden, 238, Molly, 192,
78, Miguel, 237, Margaret, 191,
79, Jeremiah, 236, Jada, 189,
80, Blake, 233, Aaliyah, 185,
81, Steven, 232, Katelyn, 185,
82, Cole, 228, Alexa, 183,
83, Alejandro, 227, Kaylee, 183,
84, Victor, 223, Madelyn, 182,
85, Jalen, 222, Arianna, 181,
86, Eduardo, 219, Melissa, 180,
87, Dominic, 210, Gabrielle, 179,
88, Sebastian, 209, Leah, 178,
89, Jake, 208, Savannah, 176,
90, Timothy, 208, Gabriela, 175,
91, Richard, 207, Kimberly, 175,
92, Devin, 204, Gabriella, 173,
93, Chase, 199, Autumn, 169,
94, Jaden, 199, Lizbeth, 169,
95, Mark, 199, Danielle, 167,
96, Omar, 193, Jordan, 167,
97, Trevor, 193, Erin, 165,
98, Carter, 190, Daniela, 163,
99, Maxwell, 189, Amber, 159,
100, Alexis, 185, Natalia, 159,
