1, Jacob, 776, Emma, 670,
2, Ethan, 662, Madison, 597,
3, Michael, 519, Emily, 580,
4, Andrew, 514, Hannah, 503,
5, Joshua, 493, Olivia, 456,
6, Tyler, 451, Abigail, 454,
7, Logan, 441, Alexis, 418,
8, Matthew, 435, Grace, 410,
9, Nicholas, 435, Elizabeth, 350,
10, Joseph, 428, Chloe, 299,
11, Samuel, 428, Taylor, 293,
12, William, 422, Lauren, 267,
13, Zachary, 416, Sarah, 265,
14, Alexander, 415, Alyssa, 236,
15, Austin, 406, Samantha, 233,
16, Dylan, 404, Haley, 229,
17, Caleb, 365, Morgan, 229,
18, David, 356, Ashley, 225,
19, Christopher, 354, Isabella, 224,
20, James, 353, Sydney, 222,
21, Elijah, 348, Brianna, 215,
22, Benjamin, 343, Anna, 213,
23, John, 339, Hailey, 210,
24, Noah, 336, Kayla, 210,
25, Ryan, 331, Megan, 210,
26, Gavin, 327, Sophia, 209,
27, Daniel, 321, Lillian, 194,
28, Evan, 321, Kaitlyn, 190,
29, Brandon, 319, Paige, 188,
30, Luke, 307, Ella, 187,
31, Hunter, 305, Mackenzie, 183,
32, Nathan, 296, Allison, 182,
33, Cameron, 291, Natalie, 177,
34, Gabriel, 282, Jessica, 170,
35, Jackson, 281, Makayla, 170,
36, Isaac, 275, Ava, 167,
37, Anthony, 270, Rachel, 165,
38, Mason, 257, Kylie, 164,
39, Christian, 253, Jasmine, 161,
40, Jonathan, 248, Faith, 156,
41, Justin, 246, Destiny, 154,
42, Blake, 243, Katelyn, 154,
43, Jordan, 233, Autumn, 150,
44, Aidan, 227, Jenna, 150,
45, Robert, 224, Audrey, 146,
46, Isaiah, 219, Katherine, 144,
47, Connor, 212, Savannah, 144,
48, Thomas, 206, Kaylee, 141,
49, Bryce, 203, Shelby, 141,
50, Aaron, 202, Zoe, 140,
51, Brayden, 198, Brooke, 138,
52, Cole, 198, Victoria, 134,
53, Charles, 192, Trinity, 127,
54, Kyle, 189, Mary, 126,
55, Seth, 182, Brooklyn, 121,
56, Nathaniel, 181, Julia, 118,
57, Lucas, 179, Riley, 118,
58, Jack, 175, Sierra, 116,
59, Adam, 169, Madeline, 114,
60, Jason, 168, Gabrielle, 110,
61, Ashton, 165, Jordan, 108,
62, Carter, 163, Kennedy, 107,
63, Hayden, 163, Claire, 105,
64, Chase, 162, Sara, 101,
65, Jayden, 160, Isabelle, 100,
66, Owen, 157, Molly, 100,
67, Ian, 156, Breanna, 99,
68, Cody, 153, Avery, 98,
69, Carson, 151, Bailey, 98,
70, Kevin, 150, Alexandra, 95,
71, Eric, 144, Madelyn, 94,
72, Alex, 138, Mia, 94,
73, Devin, 135, Caroline, 92,
74, Kaden, 135, Gracie, 92,
75, Landon, 134, Leah, 92,
76, Timothy, 134, Katie, 91,
77, Brian, 133, Jada, 89,
78, Gage, 130, Kelsey, 89,
79, Grant, 127, Marissa, 89,
80, Trevor, 127, Rebecca, 88,
81, Colin, 125, Courtney, 87,
82, Wyatt, 125, Jennifer, 87,
83, Jose, 124, Lily, 87,
84, Dakota, 122, Lydia, 86,
85, Aiden, 121, Maria, 86,
86, Dalton, 121, Danielle, 83,
87, Jaden, 119, Amanda, 82,
88, Caden, 117, Andrea, 82,
89, Kaleb, 117, Nevaeh, 82,
90, Garrett, 108, Amelia, 81,
91, Jesse, 107, Angel, 80,
92, Conner, 105, Nicole, 80,
93, Riley, 105, Gabriella, 79,
94, Sean, 104, Mariah, 79,
95, Trenton, 104, Alexa, 78,
96, Dominic, 103, Aaliyah, 77,
97, Xavier, 103, Erin, 77,
98, Steven, 102, Kendall, 77,
99, Devon, 99, Alexandria, 75,
100, Braden, 98, Cheyenne, 75,
