1, Jacob, 276, Emma, 280,
2, Ethan, 273, Madison, 234,
3, Andrew, 220, Emily, 221,
4, Joshua, 200, Hannah, 200,
5, Tyler, 190, Abigail, 192,
6, Joseph, 187, Olivia, 186,
7, Logan, 184, Grace, 165,
8, Michael, 183, Alexis, 160,
9, Matthew, 180, Elizabeth, 159,
10, William, 179, Alyssa, 152,
11, Zachary, 173, Lauren, 148,
12, Alexander, 170, Samantha, 129,
13, Austin, 168, Taylor, 125,
14, Samuel, 167, Chloe, 119,
15, Dylan, 161, Anna, 114,
16, Christopher, 159, Sarah, 107,
17, Nicholas, 159, Isabella, 101,
18, John, 158, Morgan, 94,
19, David, 149, Natalie, 92,
20, Daniel, 146, Hailey, 91,
21, Anthony, 145, Victoria, 91,
22, Benjamin, 145, Jessica, 90,
23, Ryan, 142, Sydney, 89,
24, Jackson, 141, Ella, 86,
25, Caleb, 140, Brianna, 82,
26, Nathan, 138, Sophia, 81,
27, Christian, 130, Brooke, 80,
28, Aidan, 123, Paige, 80,
29, Gavin, 123, Ashley, 76,
30, Gabriel, 122, Riley, 75,
31, Isaac, 121, Megan, 74,
32, James, 121, Faith, 73,
33, Aaron, 119, Allison, 72,
34, Jonathan, 117, Haley, 71,
35, Hunter, 115, Kylie, 71,
36, Luke, 115, Rachel, 71,
37, Elijah, 110, Kaylee, 70,
38, Mason, 109, Kaitlyn, 69,
39, Noah, 109, Kayla, 67,
40, Connor, 107, Mackenzie, 66,
41, Cole, 105, Ava, 65,
42, Brandon, 100, Trinity, 64,
43, Jordan, 96, Jenna, 61,
44, Evan, 95, Jasmine, 59,
45, Jack, 92, Lily, 59,
46, Robert, 91, Jordan, 58,
47, Justin, 88, Avery, 56,
48, Kaden, 87, Bailey, 56,
49, Cameron, 86, Katelyn, 56,
50, Carson, 86, Mary, 56,
51, Caden, 85, Katherine, 55,
52, Jose, 84, Destiny, 54,
53, Blake, 82, Savannah, 54,
54, Wyatt, 80, Brooklyn, 53,
55, Gage, 78, Andrea, 52,
56, Ian, 78, Audrey, 52,
57, Kevin, 77, Madeline, 52,
58, Thomas, 77, Molly, 52,
59, Dakota, 76, Zoe, 52,
60, Isaiah, 76, Julia, 50,
61, Alex, 74, Nicole, 50,
62, Ashton, 74, Addison, 49,
63, Aiden, 73, Gracie, 49,
64, Charles, 73, Rebecca, 49,
65, Cooper, 73, Courtney, 48,
66, Seth, 73, Makayla, 48,
67, Tanner, 73, Alexandra, 47,
68, Adam, 72, Aubrey, 47,
69, Brayden, 71, Claire, 47,
70, Cody, 71, Isabel, 47,
71, Kyle, 71, Lillian, 47,
72, Eric, 70, Marissa, 47,
73, Chase, 69, Jennifer, 46,
74, Landon, 69, Mia, 46,
75, Garrett, 68, Maria, 45,
76, Trenton, 68, Shelby, 45,
77, Devin, 67, Gabrielle, 44,
78, Hayden, 67, Jordyn, 44,
79, Colton, 65, Ashlyn, 43,
80, Jason, 65, Rylee, 43,
81, Braden, 64, Alexa, 42,
82, Lucas, 64, Amber, 42,
83, Owen, 63, Autumn, 42,
84, Grant, 62, Isabelle, 41,
85, Angel, 59, Sierra, 41,
86, Carlos, 59, Breanna, 40,
87, Carter, 59, Kelsey, 40,
88, Jayden, 59, Kennedy, 40,
89, Dalton, 58, Adriana, 39,
90, Trevor, 58, Jocelyn, 39,
91, Luis, 57, Lydia, 39,
92, Jesse, 56, Nevaeh, 38,
93, Xavier, 56, Alexandria, 37,
94, Dominic, 54, Erin, 36,
95, Jaden, 53, Kylee, 36,
96, Jesus, 52, Mckenzie, 36,
97, Bryan, 51, Ashlynn, 35,
98, Nathaniel, 51, Leah, 35,
99, Colin, 50, Abby, 34,
100, Juan, 50, Danielle, 34,
