1, Jacob, 422, Madison, 455,
2, Ethan, 385, Emily, 353,
3, Joshua, 378, Emma, 328,
4, Michael, 338, Hannah, 298,
5, Christopher, 332, Alexis, 285,
6, Tyler, 308, Taylor, 218,
7, Cameron, 283, Abigail, 216,
8, William, 279, Olivia, 215,
9, Nicholas, 277, Alyssa, 203,
10, John, 272, Chloe, 197,
11, Joseph, 270, Sarah, 192,
12, Logan, 270, Anna, 184,
13, Matthew, 266, Gabrielle, 180,
14, Dylan, 261, Grace, 176,
15, Christian, 259, Kayla, 164,
16, James, 252, Destiny, 158,
17, Caleb, 243, Brianna, 154,
18, Hunter, 236, Isabella, 153,
19, Andrew, 230, Lauren, 153,
20, Brandon, 213, Elizabeth, 150,
21, Landon, 204, Hailey, 150,
22, Austin, 202, Kaitlyn, 147,
23, Zachary, 200, Morgan, 144,
24, David, 199, Victoria, 144,
25, Jordan, 197, Jasmine, 131,
26, Gabriel, 188, Trinity, 125,
27, Justin, 184, Jada, 124,
28, Anthony, 179, Mia, 124,
29, Gavin, 178, Haley, 119,
30, Mason, 178, Caroline, 117,
31, Daniel, 170, Mary, 114,
32, Jonathan, 165, Sydney, 114,
33, Noah, 165, Bailey, 108,
34, Connor, 163, Makayla, 106,
35, Robert, 160, Savannah, 100,
36, Devin, 159, Ashley, 99,
37, Ryan, 157, Samantha, 97,
38, Kyle, 150, Gracie, 92,
39, Nathan, 147, Mackenzie, 91,
40, Luke, 143, Madeline, 91,
41, Bryce, 142, Megan, 90,
42, Evan, 141, Aaliyah, 89,
43, Jeremiah, 141, Angel, 89,
44, Benjamin, 140, Kylie, 89,
45, Alexander, 138, Julia, 87,
46, Jackson, 137, Shelby, 87,
47, Elijah, 135, Amber, 84,
48, Thomas, 132, Kennedy, 84,
49, Hayden, 131, Katelyn, 83,
50, Samuel, 125, Brooke, 82,
51, Seth, 123, Faith, 82,
52, Ashton, 120, Paige, 82,
53, Aaron, 118, Kaylee, 81,
54, Blake, 114, Jessica, 80,
55, Kevin, 114, Zoe, 80,
56, Charles, 111, Mya, 79,
57, Cole, 108, Sophia, 78,
58, Aidan, 105, Katherine, 77,
59, Jason, 105, Allison, 74,
60, Gage, 102, Breanna, 74,
61, Alex, 100, Jordan, 74,
62, Isaiah, 100, Kelsey, 72,
63, Jaden, 98, Asia, 71,
64, Patrick, 98, Natalie, 71,
65, Collin, 97, Ava, 70,
66, Kaleb, 94, Jenna, 69,
67, Ian, 92, Diamond, 67,
68, Peyton, 91, Ashlyn, 66,
69, Cody, 89, Claire, 66,
70, Eric, 89, Riley, 66,
71, Adam, 88, Alexandra, 65,
72, Brian, 82, Rachel, 65,
73, Timothy, 82, Mckenzie, 63,
74, Chase, 81, Avery, 62,
75, Jayden, 81, Madelyn, 62,
76, Kenneth, 81, Katie, 61,
77, Colin, 78, Mallory, 61,
78, Jack, 78, Ella, 60,
79, Garrett, 77, Leah, 60,
80, Brayden, 76, Raven, 58,
81, Sean, 75, Sara, 58,
82, Colby, 74, Sierra, 58,
83, Brennan, 73, Jayla, 57,
84, Jalen, 73, Courtney, 56,
85, Jake, 72, Lillian, 56,
86, Parker, 72, Abby, 55,
87, Carson, 71, Amelia, 55,
88, Trevor, 71, Jade, 54,
89, Corey, 70, Laila, 53,
90, Grant, 70, Sophie, 53,
91, Kaden, 70, Paris, 52,
92, Steven, 69, Alaina, 51,
93, Isaac, 67, Arianna, 51,
94, Micah, 65, Catherine, 51,
95, Derrick, 64, Kyla, 50,
96, Caden, 63, Skylar, 50,
97, Richard, 63, Erin, 49,
98, Brady, 62, Alexia, 48,
99, Marcus, 61, Layla, 48,
100, Andre, 60, Marissa, 48,
