1, Jacob, 137, Emma, 146,
2, Nicholas, 106, Emily, 116,
3, Joshua, 104, Abigail, 108,
4, Matthew, 97, Hannah, 108,
5, Ethan, 93, Madison, 102,
6, Tyler, 92, Olivia, 94,
7, Ryan, 89, Grace, 79,
8, Logan, 85, Alexis, 66,
9, Zachary, 85, Elizabeth, 65,
10, Dylan, 84, Sarah, 64,
11, Michael, 82, Isabella, 52,
12, Samuel, 82, Chloe, 51,
13, Benjamin, 80, Taylor, 51,
14, Andrew, 76, Anna, 50,
15, Colby, 75, Ella, 46,
16, Noah, 75, Samantha, 44,
17, Caleb, 73, Mackenzie, 41,
18, Hunter, 72, Hailey, 40,
19, Alexander, 68, Brianna, 39,
20, Nathan, 66, Morgan, 39,
21, Isaac, 62, Kaitlyn, 38,
22, Joseph, 62, Megan, 38,
23, Connor, 61, Haley, 36,
24, William, 61, Julia, 36,
25, Cameron, 59, Paige, 36,
26, Owen, 59, Autumn, 35,
27, Thomas, 59, Lily, 35,
28, Anthony, 58, Alyssa, 34,
29, Christopher, 58, Ashley, 33,
30, John, 55, Katherine, 33,
31, Gabriel, 54, Lauren, 33,
32, Austin, 53, Natalie, 32,
33, Jordan, 52, Riley, 32,
34, James, 51, Gabrielle, 31,
35, Daniel, 49, Kaylee, 31,
36, Gavin, 47, Kylie, 31,
37, Aiden, 44, Sophia, 31,
38, Evan, 44, Brooke, 29,
39, Jack, 44, Jenna, 29,
40, Aidan, 43, Jordan, 28,
41, Kyle, 43, Lydia, 28,
42, Adam, 42, Makayla, 28,
43, Robert, 42, Sydney, 28,
44, Brandon, 41, Audrey, 26,
45, Cole, 40, Rachel, 26,
46, Dominic, 39, Trinity, 26,
47, Elijah, 39, Faith, 24,
48, Mason, 39, Isabelle, 24,
49, Jonathan, 37, Molly, 24,
50, Riley, 37, Kayla, 23,
51, Isaiah, 36, Leah, 23,
52, Lucas, 36, Zoe, 23,
53, Sean, 36, Cassidy, 22,
54, David, 35, Erin, 22,
55, Justin, 35, Rebecca, 22,
56, Liam, 35, Sophie, 22,
57, Ian, 34, Amelia, 21,
58, Cody, 33, Ava, 21,
59, Luke, 33, Jessica, 21,
60, Chase, 32, Margaret, 21,
61, Gage, 31, Victoria, 21,
62, Garrett, 31, Allison, 20,
63, Jackson, 31, Arianna, 20,
64, Trevor, 31, Courtney, 20,
65, Alex, 30, Lillian, 20,
66, Charles, 28, Madeline, 20,
67, Keegan, 28, Mia, 20,
68, Aaron, 27, Nicole, 20,
69, Bryce, 26, Sierra, 20,
70, Nathaniel, 26, Alexandra, 19,
71, Wyatt, 26, Destiny, 18,
72, Brady, 25, Mary, 18,
73, Kaleb, 25, Jade, 17,
74, Christian, 24, Jasmine, 17,
75, Devin, 23, Rylee, 17,
76, Hayden, 23, Shelby, 17,
77, Jayden, 22, Danielle, 16,
78, Timothy, 22, Eliza, 16,
79, Brayden, 21, Madelyn, 16,
80, Henry, 21, Mikayla, 16,
81, Colin, 20, Eleanor, 15,
82, Jason, 20, Amber, 14,
83, Maxwell, 20, Delaney, 14,
84, Blake, 19, Gabriella, 14,
85, Camden, 19, Kelsey, 14,
86, Dustin, 19, Marissa, 14,
87, Tanner, 19, Sage, 14,
88, Ashton, 18, Savannah, 14,
89, Cooper, 18, Alison, 13,
90, Dakota, 18, Jillian, 13,
91, Dawson, 18, Jordyn, 13,
92, Kevin, 18, Katie, 13,
93, Seth, 18, Kylee, 13,
94, Jared, 17, Meghan, 13,
95, Jesse, 17, Sadie, 13,
96, Spencer, 17, Abby, 12,
97, Bradley, 16, Alexandria, 12,
98, Brian, 16, Amanda, 12,
99, Landon, 16, Caitlin, 12,
100, Parker, 16, Fiona, 12,
