1, Michael, 2456, Emily, 1629
2, Matthew, 2119, Emma, 1202
3, Joseph, 1964, Olivia, 1113
4, Nicholas, 1813, Isabella, 1080
5, Christopher, 1787, Samantha, 1030
6, Anthony, 1759, Sarah, 1018
7, Daniel, 1758, Kayla, 1010
8, Ryan, 1723, Ashley, 1007
9, Justin, 1531, Madison, 996
10, Joshua, 1513, Brianna, 838
11, Jacob, 1381, Julia, 835
12, David, 1346, Elizabeth, 783
13, John, 1327, Abigail, 770
14, Andrew, 1305, Hannah, 769
15, Alexander, 1195, Jessica, 766
16, James, 1124, Alyssa, 759
17, Brandon, 1121, Grace, 759
18, Kevin, 1109, Victoria, 743
19, William, 1072, Sophia, 740
20, Tyler, 1034, Nicole, 719
21, Jonathan, 1019, Rachel, 712
22, Dylan, 982, Amanda, 627
23, Ethan, 980, Alexis, 613
24, Christian, 970, Lauren, 601
25, Jason, 928, Alexandra, 555
26, Thomas, 927, Katherine, 490
27, Jack, 887, Anna, 480
28, Benjamin, 862, Mia, 475
29, Aidan, 828, Michelle, 475
30, Zachary, 821, Ava, 474
31, Robert, 735, Jennifer, 474
32, Samuel, 728, Gianna, 467
33, Brian, 714, Gabriella, 458
34, Sean, 663, Kaitlyn, 455
35, Gabriel, 631, Stephanie, 438
36, Elijah, 625, Alexa, 432
37, Kyle, 603, Taylor, 432
38, Jordan, 600, Natalie, 424
39, Steven, 586, Sara, 414
40, Eric, 565, Jenna, 410
41, Noah, 549, Hailey, 408
42, Aaron, 537, Leah, 400
43, Isaiah, 534, Sydney, 400
44, Adam, 523, Rebecca, 396
45, Evan, 513, Destiny, 393
46, Connor, 506, Chloe, 390
47, Angel, 476, Megan, 389
48, Logan, 474, Angelina, 386
49, Nathan, 473, Jasmine, 380
50, Alex, 471, Arianna, 361
51, Luke, 468, Maria, 340
52, Jayden, 441, Brooke, 332
53, Jose, 434, Morgan, 332
54, Vincent, 430, Gabrielle, 330
55, Patrick, 428, Maya, 329
56, Jake, 427, Ariana, 324
57, Charles, 420, Danielle, 324
58, Jaden, 417, Jada, 322
59, Bryan, 414, Kimberly, 313
60, Luis, 412, Allison, 311
61, Richard, 410, Christina, 308
62, Jeremy, 398, Kelly, 308
63, Timothy, 392, Paige, 303
64, Nathaniel, 390, Sofia, 300
65, Austin, 385, Catherine, 296
66, Lucas, 385, Mackenzie, 293
67, Cameron, 382, Jordan, 288
68, Liam, 382, Erin, 279
69, Gavin, 357, Melanie, 279
70, Owen, 355, Caroline, 273
71, Caleb, 353, Esther, 271
72, Ian, 343, Sabrina, 270
73, Sebastian, 338, Melissa, 265
74, Hunter, 330, Faith, 264
75, Peter, 326, Ella, 263
76, Devin, 324, Jade, 262
77, Isaac, 324, Vanessa, 252
78, Xavier, 315, Zoe, 252
79, Colin, 312, Madeline, 250
80, Jared, 307, Lily, 249
81, Paul, 296, Haley, 248
82, Carlos, 293, Briana, 245
83, Mark, 290, Molly, 241
84, Joel, 278, Amy, 239
85, Jeremiah, 277, Gabriela, 236
86, Antonio, 271, Jacqueline, 236
87, Aiden, 268, Aaliyah, 235
88, Dominic, 267, Tiffany, 224
89, Kenneth, 263, Jillian, 222
90, Juan, 255, Chelsea, 218
91, Jeffrey, 254, Adriana, 216
92, Adrian, 251, Diana, 215
93, Jackson, 251, Isabel, 214
94, Edward, 250, Amber, 210
95, Julian, 250, Kaylee, 210
96, Stephen, 250, Angela, 208
97, Henry, 246, Mary, 207
98, Cole, 245, Katelyn, 204
99, George, 242, Miriam, 199
100, Victor, 240, Isabelle, 198
