1, Michael, 1287, Emily, 1137,
2, Ryan, 1173, Emma, 1016,
3, Jacob, 1158, Madison, 917,
4, Matthew, 1080, Olivia, 861,
5, Nicholas, 1027, Hannah, 781,
6, Joseph, 947, Abigail, 721,
7, Joshua, 904, Sarah, 693,
8, Tyler, 891, Grace, 596,
9, Andrew, 877, Alexis, 595,
10, Zachary, 868, Isabella, 584,
11, John, 867, Elizabeth, 563,
12, Anthony, 850, Samantha, 517,
13, Ethan, 801, Kayla, 514,
14, Daniel, 735, Alyssa, 506,
15, Alexander, 729, Lauren, 473,
16, Dylan, 693, Julia, 466,
17, William, 683, Ashley, 460,
18, Christopher, 679, Morgan, 440,
19, James, 642, Sophia, 417,
20, Benjamin, 638, Brianna, 408,
21, Logan, 633, Anna, 407,
22, David, 630, Taylor, 397,
23, Nathan, 624, Paige, 396,
24, Justin, 598, Jessica, 393,
25, Noah, 555, Megan, 389,
26, Aidan, 535, Rachel, 389,
27, Brandon, 534, Sydney, 358,
28, Robert, 527, Hailey, 356,
29, Samuel, 519, Mackenzie, 343,
30, Thomas, 512, Chloe, 340,
31, Luke, 511, Victoria, 340,
32, Evan, 502, Ava, 332,
33, Austin, 496, Natalie, 328,
34, Christian, 494, Brooke, 311,
35, Connor, 491, Kaitlyn, 310,
36, Gavin, 452, Jenna, 290,
37, Jonathan, 436, Haley, 281,
38, Hunter, 430, Mia, 280,
39, Kyle, 403, Rebecca, 277,
40, Elijah, 391, Jordan, 264,
41, Sean, 391, Gabrielle, 262,
42, Mason, 373, Allison, 261,
43, Gabriel, 366, Alexandra, 255,
44, Owen, 365, Riley, 254,
45, Aaron, 363, Kylie, 253,
46, Jason, 359, Nicole, 246,
47, Adam, 358, Amanda, 238,
48, Kevin, 358, Gianna, 238,
49, Caleb, 357, Katherine, 237,
50, Cameron, 355, Destiny, 231,
51, Jordan, 346, Ella, 230,
52, Jack, 343, Mary, 225,
53, Eric, 324, Faith, 222,
54, Isaiah, 317, Sara, 218,
55, Dominic, 314, Leah, 208,
56, Colin, 306, Erin, 207,
57, Cole, 302, Madeline, 207,
58, Aiden, 296, Lily, 196,
59, Ian, 296, Makayla, 194,
60, Brian, 293, Jasmine, 193,
61, Nathaniel, 291, Angelina, 192,
62, Patrick, 285, Sierra, 191,
63, Isaac, 254, Danielle, 187,
64, Timothy, 244, Katelyn, 187,
65, Charles, 243, Alexa, 186,
66, Chase, 237, Caroline, 186,
67, Liam, 237, Amber, 184,
68, Lucas, 236, Kaylee, 177,
69, Shane, 235, Molly, 175,
70, Alex, 217, Zoe, 175,
71, Jackson, 216, Maya, 172,
72, Mark, 213, Maria, 169,
73, Seth, 213, Savannah, 169,
74, Steven, 211, Gabriella, 167,
75, Cody, 209, Autumn, 165,
76, Bryce, 203, Trinity, 161,
77, Jake, 201, Lydia, 156,
78, Richard, 198, Lillian, 154,
79, Jayden, 195, Aaliyah, 153,
80, Devin, 191, Kathryn, 151,
81, Jaden, 186, Courtney, 147,
82, Jared, 185, Jada, 147,
83, Stephen, 175, Katie, 147,
84, Brady, 174, Marissa, 146,
85, Shawn, 174, Catherine, 145,
86, Xavier, 171, Jennifer, 138,
87, Jeremy, 170, Mya, 131,
88, Blake, 164, Mikayla, 129,
89, Julian, 160, Cassidy, 128,
90, Trevor, 159, Christina, 128,
91, Garrett, 153, Arianna, 127,
92, Dakota, 150, Claire, 127,
93, Derek, 150, Madelyn, 127,
94, Jesse, 150, Carly, 125,
95, Vincent, 150, Jade, 123,
96, Riley, 148, Amelia, 122,
97, Hayden, 147, Jordyn, 120,
98, Paul, 146, Laura, 118,
99, Brendan, 145, Margaret, 117,
100, Carter, 141, Nevaeh, 117,
