1, Jacob, 796, Emily, 671,
2, William, 754, Emma, 615,
3, Michael, 729, Madison, 555,
4, Joshua, 686, Hannah, 525,
5, Christopher, 631, Abigail, 460,
6, Matthew, 618, Olivia, 421,
7, Andrew, 599, Sarah, 411,
8, James, 577, Grace, 360,
9, Ethan, 572, Elizabeth, 347,
10, Ryan, 547, Alexis, 346,
11, John, 541, Ashley, 333,
12, Nicholas, 506, Kayla, 332,
13, Joseph, 469, Lauren, 322,
14, Alexander, 464, Taylor, 313,
15, Tyler, 439, Isabella, 283,
16, Daniel, 426, Katherine, 282,
17, David, 416, Samantha, 279,
18, Zachary, 413, Sydney, 277,
19, Dylan, 405, Anna, 276,
20, Brandon, 398, Rachel, 270,
21, Christian, 394, Haley, 258,
22, Anthony, 387, Alyssa, 248,
23, Jonathan, 385, Brianna, 244,
24, Samuel, 385, Jessica, 224,
25, Benjamin, 374, Sophia, 223,
26, Thomas, 361, Caroline, 217,
27, Justin, 356, Kaitlyn, 217,
28, Caleb, 350, Victoria, 217,
29, Robert, 345, Megan, 214,
30, Logan, 334, Morgan, 212,
31, Nathan, 331, Hailey, 205,
32, Noah, 329, Jordan, 201,
33, Elijah, 315, Chloe, 193,
34, Kevin, 306, Alexandra, 190,
35, Gabriel, 299, Natalie, 190,
36, Austin, 298, Savannah, 182,
37, Cameron, 286, Julia, 180,
38, Hunter, 276, Makayla, 178,
39, Jordan, 276, Destiny, 172,
40, Aidan, 275, Jasmine, 172,
41, Jason, 271, Mackenzie, 169,
42, Isaiah, 258, Mary, 166,
43, Jackson, 255, Allison, 164,
44, Connor, 254, Brooke, 159,
45, Luke, 249, Nicole, 153,
46, Charles, 248, Jada, 151,
47, Sean, 234, Madeline, 151,
48, Evan, 233, Rebecca, 149,
49, Aaron, 208, Jennifer, 148,
50, Jack, 203, Ella, 143,
51, Kyle, 202, Erin, 140,
52, Nathaniel, 200, Catherine, 138,
53, Gavin, 198, Sara, 137,
54, Adam, 194, Trinity, 137,
55, Mason, 192, Faith, 135,
56, Ian, 177, Zoe, 132,
57, Brian, 169, Amanda, 127,
58, Eric, 169, Ava, 123,
59, Chase, 157, Jenna, 122,
60, Owen, 155, Gabrielle, 121,
61, Colin, 149, Riley, 120,
62, Aiden, 148, Mia, 119,
63, Patrick, 148, Margaret, 117,
64, Seth, 148, Maria, 117,
65, Devin, 147, Kaylee, 116,
66, Timothy, 143, Danielle, 112,
67, Steven, 139, Autumn, 111,
68, Xavier, 139, Sierra, 111,
69, Jaden, 137, Kylie, 109,
70, Isaac, 129, Courtney, 107,
71, Lucas, 129, Leah, 107,
72, Richard, 129, Kathryn, 106,
73, Alex, 127, Lillian, 105,
74, Cody, 127, Paige, 105,
75, Blake, 126, Katelyn, 103,
76, Trevor, 126, Aaliyah, 102,
77, Jose, 125, Claire, 101,
78, Jeremiah, 124, Maya, 99,
79, Bryan, 123, Michelle, 99,
80, Jayden, 121, Amber, 96,
81, Cole, 113, Stephanie, 94,
82, Henry, 113, Skylar, 93,
83, Hayden, 110, Gabriella, 91,
84, Landon, 109, Kimberly, 88,
85, Carlos, 108, Audrey, 87,
86, Carter, 105, Isabelle, 86,
87, Bryce, 103, Katie, 86,
88, Jalen, 102, Lindsey, 86,
89, Stephen, 102, Charlotte, 85,
90, Antonio, 99, Amelia, 84,
91, Luis, 99, Kendall, 83,
92, Garrett, 98, Ariana, 82,
93, Paul, 98, Breanna, 82,
94, Dominic, 96, Cheyenne, 82,
95, Kenneth, 92, Isabel, 82,
96, Marcus, 92, Summer, 82,
97, Mark, 92, Christina, 81,
98, Shane, 90, Jayla, 81,
99, Julian, 88, Lily, 81,
100, Wyatt, 88, Briana, 80,
